statecountyfips,geo_display,est2018_all,est2018_0to4,est2018_5to9,est2018_10to14,est2018_15to19,est2018_20to24,est2018_25to29,est2018_30to34,est2018_35to39,est2018_40to44,est2018_45to49,est2018_50to54,est2018_55to59,est2018_60to64,est2018_65to69,est2018_70to74,est2018_75to79,est2018_80to84,est2018_85plus,cbsacode,centraloutlyingcounty,countyequivalent,csatitle,statename
01049,"DeKalb County, Alabama",71385,4237,4692,5213,4796,4058,4542,3963,4256,4505,4839,4642,4755,4565,4030,3345,2279,1461,1207,,,,,
01027,"Clay County, Alabama",13275,687,733,769,795,780,763,683,772,734,870,979,1012,947,852,673,541,373,312,,,,,
01019,"Cherokee County, Alabama",26032,1206,1348,1482,1499,1304,1548,1206,1298,1471,1733,1857,2016,2084,1862,1683,1152,747,536,,,,,
01065,"Hale County, Alabama",14726,979,909,956,910,933,951,783,840,795,806,916,1106,1013,923,715,486,355,350,46220,Outlying,Hale County,,Alabama
31039,"Cuming County, Nebraska",8940,596,551,654,611,503,428,451,478,453,434,565,625,626,500,434,344,297,390,,,,,
53069,"Wahkiakum County, Washington",4426,137,230,229,265,174,183,169,181,193,227,285,323,406,443,418,267,164,132,,,,,
35011,"De Baca County, New Mexico",1781,86,130,109,115,75,68,86,107,68,82,90,144,124,156,131,80,57,73,,,,,
31129,"Nuckolls County, Nebraska",4195,214,206,251,249,203,192,193,235,188,205,228,333,361,304,285,195,157,196,,,,,
48327,"Menard County, Texas",2139,91,107,120,103,87,103,81,97,87,106,113,183,182,170,181,139,81,108,,,,,
06091,"Sierra County, California",2987,139,133,130,115,110,128,119,143,145,152,169,279,280,347,239,174,100,85,,,,,
21053,"Clinton County, Kentucky",10206,612,622,636,626,526,647,537,595,570,660,712,756,717,626,526,415,256,167,,,,,
29083,"Henry County, Missouri",21792,1294,1365,1309,1283,1074,1211,1222,1244,1096,1272,1403,1673,1608,1420,1267,912,577,562,,,,,
08109,"Saguache County, Colorado",6843,398,358,457,404,269,286,297,372,391,328,461,558,692,651,461,245,115,100,,,,,
49033,"Rich County, Utah",2464,188,210,206,182,145,126,139,145,133,123,118,141,165,152,108,84,36,63,,,,,
40001,"Adair County, Oklahoma",22082,1637,1557,1677,1522,1311,1446,1220,1309,1317,1376,1422,1518,1258,1149,937,683,407,336,,,,,
35003,"Catron County, New Mexico",3578,110,105,127,151,133,123,107,111,107,138,144,333,403,474,429,287,177,119,,,,,
