RPT_REC_NUM,PRVDR_CTRL_TYPE_CD,PRVDR_NUM,RPT_STUS_CD,filed_date,fy_start_date,fy_end_date,source_year,days_in_period,most_recent,acute_beds_0700,icu_beds_0800,extra_0899,coronary_beds_0900,extra_0999,burn_beds_1000,extra_1099,surg_icu_beds_1100,extra_1199,oth_spec_beds_1200,extra_1299,subtotal_acute_beds_1400,subprovider_ipf_beds_1600,subprovider_irf_beds_1700,subprovider_oth_beds_1800,skilled_nursing_beds_1900,nursing_fac_beds_2000,oth_longterm_beds_2100,hospice_beds_2400,all_beds_2700,labor_delivery_beds_3200,acute_bed_days_0700,icu_bed_days_0800,extra_days_0899,coronary_bed_days_0900,extra_days_0999,burn_bed_days_1000,extra_days_1099,oth_spec_bed_days_1100,extra_days_1199,oth_spec_bed_days_1200,extra_days_1299,subtotal_acute_bed_days_1400,subprovider_ipf_bed_days_1600,subprovider_irf_bed_days_1700,subprovider_oth_bed_days_1800,skilled_nursing_bed_days_1900,nursing_fac_bed_days_2000,oth_longterm_bed_days_2100,hospice_bed_days_2400,obs_bed_days_2800,labor_delivery_bed_days_3200,subtotal_acute_utilization,all_beds_utilization
644342,4,400103,2,2017-06-01,2016-01-01,2016-12-31,2016,365,f,161,28,,,,,,,,,,189,,,,,,,,189,,,6890,,,,,,,,,,53538,,,,,,,,,,77.0000,
644354,4,440192,2,2017-11-21,2016-07-01,2017-06-30,2016,364,f,28,4,,,,,,,,,,32,10,,,,,,,42,,,147,,,,,,,,,,1736,3118,,,,,,,335,,14.0000,
644356,1,450042,5,2019-03-04,2016-07-01,2017-06-30,2016,364,f,199,30,,,,,,,,,,229,48,,,,,,,277,,,7367,,,,,,,,,,65338,7040,,,,,,,1186,,78.0000,
644368,2,450537,2,2017-12-01,2016-07-01,2017-06-30,2016,364,f,120,25,20,,,,,,,,,165,51,,,,,,,216,10,,6524,3366,,,,,,,,,40483,14507,,,,,,,5705,,67.0000,
644399,4,100047,2,2018-01-04,2015-10-01,2016-09-30,2016,365,f,114,10,,,,,,,,,,124,52,,,,,,,176,,,2095,,,,,,,,,,17716,14803,,,,,,,1166,,39.0000,
644403,4,130018,2,2017-02-27,2015-10-01,2016-09-30,2016,365,f,176,35,26,,,,,,,,,237,28,15,,16,,29,,325,4,,5893,5821,,,,,,,,,47038,6418,3455,,4997,,5452,,2293,,54.0000,
644404,1,140258,1,2017-12-01,2016-07-01,2017-06-30,2016,364,f,221,36,,,,,,,,,,257,24,72,,,,,,353,,,9702,,,,,,,,,,79188,5466,21457,,,,,,2920,,84.0000,
644405,2,260113,1,2017-03-01,2015-10-01,2016-09-30,2016,365,f,109,12,,,,,,,,,,121,12,11,,,,,,144,,,1996,,,,,,,,,,14007,3908,2258,,,,,,1416,,31.0000,
644439,4,100183,2,2018-03-02,2016-01-01,2016-12-31,2016,365,f,229,16,,,,,,,,,,245,,,,,,,,245,,,5130,,,,,,,,,,35272,,,,,,,,5919,,39.0000,
644496,2,200008,2,2018-04-09,2015-10-01,2016-09-30,2016,365,f,96,7,,,,,,,,,,103,,,,,,,,103,,,1390,,,,,,,,,,19422,,,,,,,114,895,,51.0000,
644497,2,204006,2,2018-02-28,2016-09-25,2017-09-30,2016,370,f,68,,,,,,,,,,,68,,,,,,,,68,,,,,,,,,,,,,24249,,,,,,,,,,96.0000,
644498,4,223026,4,2018-01-16,2016-01-01,2016-12-31,2016,365,f,210,,,,,,,,,,,210,,,,,,,,210,,,,,,,,,,,,,37434,,,,,,,,,,48.0000,
644506,10,244012,2,2017-11-20,2016-07-01,2017-06-30,2016,364,f,16,,,,,,,,,,,16,,,,,,,,16,,,,,,,,,,,,,3419,,,,,,,,,,58.0000,
