hospital_name,address,city,state,zip_code,county_name,phone_number,hospital_type,hospital_ownership,emergency_services,lat,lng,geocode_flag,geocode_accuracy,url,PRVDR_NUM,RPT_REC_NUM,LINE_NUM,CLMN_NUM,total,unit_100_value,unit_name
KALISPELL REGIONAL MEDICAL CENTER,310 SUNNYVIEW LANE,KALISPELL,MT,59901,FLATHEAD,(406) 752-5111,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,48.2156850,-114.3247530,0,,https://data.medicare.gov/resource/xubh-q36u/row-n6nd-i5ym.67yu,270051,653251,00801,00200,5,03101,03101NEONATAL INTENSIVE CARE UNIT
KALISPELL REGIONAL MEDICAL CENTER,310 SUNNYVIEW LANE,KALISPELL,MT,59901,FLATHEAD,(406) 752-5111,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,48.2156850,-114.3247530,0,,https://data.medicare.gov/resource/xubh-q36u/row-n6nd-i5ym.67yu,270051,653251,00802,00200,4,03102,03102PREMATURE INTENSIVE CARE UNIT
HUNTINGTON MEMORIAL HOSPITAL,100 W  CALIFORNIA BLVD,PASADENA,CA,91109,LOS ANGELES,(626) 397-5000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,34.1357610,-118.1518030,0,,https://data.medicare.gov/resource/xubh-q36u/row-bdr4.hnkr-2qge,50438,653307,00801,00200,51,03101,02060NEONATAL ICU
HUNTINGTON MEMORIAL HOSPITAL,100 W  CALIFORNIA BLVD,PASADENA,CA,91109,LOS ANGELES,(626) 397-5000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,34.1357610,-118.1518030,0,,https://data.medicare.gov/resource/xubh-q36u/row-bdr4.hnkr-2qge,50438,653307,00802,00200,8,03102,02080PEDIATRIC ICU
MARSHFIELD MEDICAL CENTER,611 ST JOSEPH AVE,MARSHFIELD,WI,54449,WOOD,(715) 387-7850,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,44.6780444,-90.1770418,1,ROOFTOP,https://data.medicare.gov/resource/xubh-q36u/row-skbx~dk6q-qiix,520037,641007,00801,00200,20,03101,02060NEONATAL INTENSIVE CARE UNIT
MARSHFIELD MEDICAL CENTER,611 ST JOSEPH AVE,MARSHFIELD,WI,54449,WOOD,(715) 387-7850,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,44.6780444,-90.1770418,1,ROOFTOP,https://data.medicare.gov/resource/xubh-q36u/row-skbx~dk6q-qiix,520037,641007,00802,00200,6,03102,02080PEDIATRIC INTENSIVE CARE UNIT
BETHESDA HOSPITAL EAST,2815 S SEACREST BLVD,BOYNTON BEACH,FL,33435,PALM BEACH,(561) 737-7733,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,26.5040400,-80.0686800,0,,https://data.medicare.gov/resource/xubh-q36u/row-zbar.2j9x~py5e,100002,654642,00901,00200,3,03201,02080PEDIATRIC INTENSIVE CARE UNIT
BETHESDA HOSPITAL EAST,2815 S SEACREST BLVD,BOYNTON BEACH,FL,33435,PALM BEACH,(561) 737-7733,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,26.5040400,-80.0686800,0,,https://data.medicare.gov/resource/xubh-q36u/row-zbar.2j9x~py5e,100002,654642,00902,00200,18,03202,02060NEONATAL INTENSIVE CARE UNIT
LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,11234 ANDERSON STREET SUITE A,LOMA LINDA,CA,92354,SAN BERNARDINO,(909) 558-8000,Acute Care Hospitals,Voluntary non-profit - Church,FALSE,34.0494820,-117.2611220,0,,https://data.medicare.gov/resource/xubh-q36u/row-pf24-s78t.y754,50778,662028,01201,00200,99,03501,02080PEDIATRIC INTENSIVE CARE UNIT
VANDERBILT UNIVERSITY MEDICAL CENTER,1211 MEDICAL CENTER DRIVE,NASHVILLE,TN,37232,DAVIDSON,(615) 322-3454,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,36.1428320,-86.8001740,0,,https://data.medicare.gov/resource/xubh-q36u/row-37w9.8wm5-8dja,440039,654753,00801,00200,35,03101,03101NEUROLOGY ICU
VANDERBILT UNIVERSITY MEDICAL CENTER,1211 MEDICAL CENTER DRIVE,NASHVILLE,TN,37232,DAVIDSON,(615) 322-3454,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,36.1428320,-86.8001740,0,,https://data.medicare.gov/resource/xubh-q36u/row-37w9.8wm5-8dja,440039,654753,00802,00200,96,03102,02060NEONATAL ICU
VANDERBILT UNIVERSITY MEDICAL CENTER,1211 MEDICAL CENTER DRIVE,NASHVILLE,TN,37232,DAVIDSON,(615) 322-3454,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,36.1428320,-86.8001740,0,,https://data.medicare.gov/resource/xubh-q36u/row-37w9.8wm5-8dja,440039,654753,00803,00200,42,03103,02080PEDIATRIC ICU
VANDERBILT UNIVERSITY MEDICAL CENTER,1211 MEDICAL CENTER DRIVE,NASHVILLE,TN,37232,DAVIDSON,(615) 322-3454,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,36.1428320,-86.8001740,0,,https://data.medicare.gov/resource/xubh-q36u/row-37w9.8wm5-8dja,440039,654753,01101,00200,31,03401,02180INTENSIVE CARE UNIT TRAUMA
MEMORIAL HOSPITAL JACKSONVILLE,3625 UNIVERSITY BLVD S,JACKSONVILLE,FL,32216,DUVAL,(904) 702-6111,Acute Care Hospitals,Proprietary,TRUE,30.2876330,-81.6024050,0,,https://data.medicare.gov/resource/xubh-q36u/row-cpb7-vuug-u3fk,100179,650250,00801,00200,10,03101,02060NEONATAL INTENSIVE CARE UNIT
SHARP CHULA VISTA MEDICAL CENTER,751 MEDICAL CENTER COURT,CHULA VISTA,CA,91911,SAN DIEGO,(619) 502-5800,Acute Care Hospitals,Proprietary,TRUE,32.6184480,-117.0239900,0,,https://data.medicare.gov/resource/xubh-q36u/row-75gp_4nzp_4ubq,50222,643329,01101,00200,9,03401,03401NEONATAL INTENSIVE CARE UNIT
UNIVERSITY MEDICAL CENTER,1800 W CHARLESTON BLVD,LAS VEGAS,NV,89102,CLARK,(702) 383-2000,Acute Care Hospitals,Government - Local,TRUE,36.1589410,-115.1659450,0,,https://data.medicare.gov/resource/xubh-q36u/row-crh9_6nqs_53ud,290007,662546,01201,00200,36,03501,02060NEONATAL INTENSIVE CARE UNIT
UNIVERSITY MEDICAL CENTER,1800 W CHARLESTON BLVD,LAS VEGAS,NV,89102,CLARK,(702) 383-2000,Acute Care Hospitals,Government - Local,TRUE,36.1589410,-115.1659450,0,,https://data.medicare.gov/resource/xubh-q36u/row-crh9_6nqs_53ud,290007,662546,01202,00200,14,03502,02080PEDIATRIC INTENSIVE CARE UNIT
KETTERING MEDICAL CENTER,3535 SOUTHERN BOULEVARD,KETTERING,OH,45429,MONTGOMERY,(937) 395-8165,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,39.6956030,-84.1909930,0,,https://data.medicare.gov/resource/xubh-q36u/row-nep3.488k.vkyf,360079,662570,00801,00200,25,03101,03101NEONATAL INTENSIVE UNIT
LUCILE SALTER PACKARD CHILDREN'S HSP AT STANFORD,725 WELCH ROAD,PALO ALTO,CA,94304,SANTA CLARA,(650) 497-8000,Childrens,Voluntary non-profit - Private,FALSE,37.4373820,-122.1750610,0,,https://data.medicare.gov/resource/xubh-q36u/row-kerk.q8n2_pjvp,53305,644220,01201,00200,80,03501,02060NEONATAL INTENSIVE CARE UNIT
OCHSNER LSU HEALTH SHREVEPORT,1541 KINGS HIGHWAY,SHREVEPORT,LA,71103,CADDO,(318) 675-5000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,32.4817910,-93.7615900,0,,https://data.medicare.gov/resource/xubh-q36u/row-mkra_a29f.kchy,190098,660383,00801,00200,43,03101,03101MICU
OCHSNER LSU HEALTH SHREVEPORT,1541 KINGS HIGHWAY,SHREVEPORT,LA,71103,CADDO,(318) 675-5000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,32.4817910,-93.7615900,0,,https://data.medicare.gov/resource/xubh-q36u/row-mkra_a29f.kchy,190098,660383,00901,00200,23,03201,03201NICU
OCHSNER LSU HEALTH SHREVEPORT,1541 KINGS HIGHWAY,SHREVEPORT,LA,71103,CADDO,(318) 675-5000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,32.4817910,-93.7615900,0,,https://data.medicare.gov/resource/xubh-q36u/row-mkra_a29f.kchy,190098,660383,01101,00200,8,03401,03401PICU
ALAMANCE REGIONAL MEDICAL CENTER,1240 HUFFMAN MILL RD,BURLINGTON,NC,27216,ALAMANCE,(336) 538-7000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,36.0637490,-79.5025280,0,,https://data.medicare.gov/resource/xubh-q36u/row-x8vw.bx9c.7dbj,340070,643428,00801,00200,12,03101,03101LEVEL 2-3 NURSERY
LEGACY EMANUEL MEDICAL CENTER,2801 N GANTENBEIN AVENUE,PORTLAND,OR,97227,MULTNOMAH,(503) 413-2200,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,45.5440500,-122.6694450,0,,https://data.medicare.gov/resource/xubh-q36u/row-7f4v.d6m7-2kdb,380007,654861,00801,00200,45,03101,03101NEONATAL INTENSIVE CARE UNIT
LEGACY EMANUEL MEDICAL CENTER,2801 N GANTENBEIN AVENUE,PORTLAND,OR,97227,MULTNOMAH,(503) 413-2200,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,45.5440500,-122.6694450,0,,https://data.medicare.gov/resource/xubh-q36u/row-7f4v.d6m7-2kdb,380007,654861,00802,00200,24,03102,03102PEDIATRIC INTENSIVE CARE UNIT
LEGACY EMANUEL MEDICAL CENTER,2801 N GANTENBEIN AVENUE,PORTLAND,OR,97227,MULTNOMAH,(503) 413-2200,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,45.5440500,-122.6694450,0,,https://data.medicare.gov/resource/xubh-q36u/row-7f4v.d6m7-2kdb,380007,654861,00803,00200,24,03103,03103CORONARY CARE UNIT
LEGACY EMANUEL MEDICAL CENTER,2801 N GANTENBEIN AVENUE,PORTLAND,OR,97227,MULTNOMAH,(503) 413-2200,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,45.5440500,-122.6694450,0,,https://data.medicare.gov/resource/xubh-q36u/row-7f4v.d6m7-2kdb,380007,654861,00804,00200,16,03104,03104BURN INTENSIVE CARE UNIT
LEGACY EMANUEL MEDICAL CENTER,2801 N GANTENBEIN AVENUE,PORTLAND,OR,97227,MULTNOMAH,(503) 413-2200,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,45.5440500,-122.6694450,0,,https://data.medicare.gov/resource/xubh-q36u/row-7f4v.d6m7-2kdb,380007,654861,00806,00200,12,03106,03106CARDIOVASCULAR ICU
GENESIS MEDICAL CENTER-DAVENPORT,1227 EAST RUSHOLME STREET,DAVENPORT,IA,52803,SCOTT,(563) 421-1000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,41.5428370,-90.5569580,0,,https://data.medicare.gov/resource/xubh-q36u/row-4489-t8e7.jc84,160033,654885,00901,00200,20,03201,03201NICU
CENTRAL MAINE MEDICAL CENTER,300 MAIN STREET,LEWISTON,ME,4240,ANDROSCOGGIN,(207) 795-0111,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,44.1009760,-70.2145570,0,,https://data.medicare.gov/resource/xubh-q36u/row-xhy6~mapr~umkr,200024,654886,00801,00200,11,03101,03101NICU
MERCYONE DES MOINES MEDICAL CENTER,1111 6TH AVE,DES MOINES,IA,50314,POLK,(515) 247-3121,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,41.5995770,-93.6257020,0,,https://data.medicare.gov/resource/xubh-q36u/row-kdyc-9ed2_7a96,160083,654919,00901,00200,6,03201,02400PROGRESSIVE CARE UNIT
MERCYONE DES MOINES MEDICAL CENTER,1111 6TH AVE,DES MOINES,IA,50314,POLK,(515) 247-3121,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,41.5995770,-93.6257020,0,,https://data.medicare.gov/resource/xubh-q36u/row-kdyc-9ed2_7a96,160083,654919,01101,00200,44,03401,02060NEONATAL INTENSIVE CARE UNIT
UNIVERSITY OF KANSAS HOSPITAL,4000 CAMBRIDGE STREET,KANSAS CITY,KS,66160,WYANDOTTE,(913) 588-7332,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,39.0553950,-94.6082290,0,,https://data.medicare.gov/resource/xubh-q36u/row-eypu_w27y~gqr6,170040,654923,01201,00200,6,03501,02080PEDIATRICS ICU
THE NEBRASKA MEDICAL CENTER,987400 NEBRASKA MEDICAL CENTER,OMAHA,NE,68198,DOUGLAS,(402) 552-2040,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,41.2575141,-96.0049478,1,ROOFTOP,https://data.medicare.gov/resource/xubh-q36u/row-rj72.yueh.kiv4,280013,654934,00801,00200,8,03101,03101PEDIATRIC ICU SO.
THE NEBRASKA MEDICAL CENTER,987400 NEBRASKA MEDICAL CENTER,OMAHA,NE,68198,DOUGLAS,(402) 552-2040,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,41.2575141,-96.0049478,1,ROOFTOP,https://data.medicare.gov/resource/xubh-q36u/row-rj72.yueh.kiv4,280013,654934,00802,00200,34,03102,03102NEONATAL ICU SO
JERSEY SHORE UNIVERSITY MEDICAL CENTER,1945 RTE 33,NEPTUNE,NJ,7754,MONMOUTH,(732) 775-5500,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,40.2091347,-74.0412120,1,ROOFTOP,https://data.medicare.gov/resource/xubh-q36u/row-giyq.qcga-vcqe,310073,654970,01201,00200,34,03501,02060NEONATAL INTENSIVE CARE UNIT
WELLSPAN EPHRATA COMMUNITY HOSPITAL,169 MARTIN AVENUE,EPHRATA,PA,17522,LANCASTER,(717) 733-0311,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,40.1868660,-76.1842680,0,,https://data.medicare.gov/resource/xubh-q36u/row-yps7.f8sy.qcuw,390225,659881,00801,00200,5,03101,02060NICU
FORBES HOSPITAL,2570 HAYMAKER ROAD,MONROEVILLE,PA,15146,ALLEGHENY,(412) 858-2000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,40.4284250,-79.7512540,0,,https://data.medicare.gov/resource/xubh-q36u/row-f279_i43n~yjz2,390267,659882,00801,00200,8,03101,03101CARDIOVASCULAR ICU
