@_address,provider_id,geocode_flag,geocode_accuracy,geocoded_column,lat,lng,hospital_name,address,city,state,zip_code,county_name,phone_number,hospital_type,hospital_ownership,emergency_services,hospital_overall_rating,hospital_overall_rating_footnote,mortality_national_comparison,mortality_national_comparison_footnote,safety_of_care_national_comparison,safety_of_care_national_comparison_footnote,readmission_national_comparison,readmission_national_comparison_footnote,patient_experience_national_comparison,patient_experience_national_comparison_footnote,effectiveness_of_care_national_comparison,effectiveness_of_care_national_comparison_footnote,timeliness_of_care_national_comparison,timeliness_of_care_national_comparison_footnote,efficient_use_of_medical_imaging_national_comparison,efficient_use_of_medical_imaging_national_comparison_footnote
https://data.medicare.gov/resource/xubh-q36u/row-vmgp-erfi.puty,031309,1,ROOFTOP,,35.7108602,-109.5423597,SAGE MEMORIAL HOSPITAL,STATE ROUTE 264 SOUTH 191,GANADO,AZ,86505,APACHE,(928) 755-4541,Critical Access Hospitals,Voluntary non-profit - Private,false,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Not Available,16,Not Available,16,Not Available,5,Not Available,5
https://data.medicare.gov/resource/xubh-q36u/row-3euh.8ikh-xuvx,044021,0,,POINT (-90.175858 35.152962),35.152962,-90.175858,WOODRIDGE BEHAVIORAL CENTER,600 NORTH 7TH STREET,WEST MEMPHIS,AR,72301,CRITTENDEN,(870) 394-4113,Psychiatric,Proprietary,false,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19
https://data.medicare.gov/resource/xubh-q36u/row-kf87_pfp3.y73g,100277,0,,POINT (-80.191767 25.822972),25.822972,-80.191767,DOUGLAS GARDENS HOSPITAL,5200 NE 2ND AVE,MIAMI,FL,33137,MIAMI-DADE,(305) 751-8626,Acute Care Hospitals,Voluntary non-profit - Private,false,Not Available,16,Not Available,5,Not Available,5,Not Available,5,Not Available,16,Not Available,5,Not Available,16,Not Available,16
https://data.medicare.gov/resource/xubh-q36u/row-8ru6~sxqw-weze,104078,0,,POINT (-82.612355 27.460155),27.460155,-82.612355,SUNCOAST BEHAVIORAL HEALTH CENTER,4480 51ST ST W,BRADENTON,FL,34210,MANATEE,(941) 792-2222,Psychiatric,Proprietary,false,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19
https://data.medicare.gov/resource/xubh-q36u/row-egh2.u29a~s2jf,130063,0,,POINT (-116.290332 43.611289),43.611289,-116.290332,TREASURE VALLEY HOSPITAL,8800 WEST EMERALD STREET,BOISE,ID,83704,ADA,(208) 373-5000,Acute Care Hospitals,Proprietary,false,Not Available,16,Not Available,16,Not Available,5,Not Available,5,Above the national average,,Not Available,5,Not Available,16,Not Available,16
https://data.medicare.gov/resource/xubh-q36u/row-arrs.k59u_73ik,134002,0,,POINT (-116.266232 43.607293),43.607293,-116.266232,INTERMOUNTAIN HOSPITAL,303 NORTH ALLUMBAUGH STREET,BOISE,ID,83704,ADA,(208) 377-8400,Psychiatric,Proprietary,false,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19
https://data.medicare.gov/resource/xubh-q36u/row-3rnt.endz.n6wx,144038,0,,POINT (-89.24487 37.47601),37.47601,-89.24487,CHOATE MENTAL HEALTH & DEVELOPMENT CTR,1000 N MAIN ST,ANNA,IL,62906,UNION,(618) 833-5161,Psychiatric,Government - State,false,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19
https://data.medicare.gov/resource/xubh-q36u/row-5axd_6ykz-azjm,171370,0,,POINT (-101.713256 39.35759),39.35759,-101.713256,GOODLAND REGIONAL MEDICAL CENTER,220 WEST SECOND STREET,GOODLAND,KS,67735,SHERMAN,(785) 890-3625,Critical Access Hospitals,Government - Local,true,3,,Same as the national average,,Not Available,16,Same as the national average,,Not Available,16,Not Available,5,Above the national average,,Not Available,5
https://data.medicare.gov/resource/xubh-q36u/row-5gah-hk28_e757,204005,0,,POINT (-70.33834 43.653231),43.653231,-70.33834,SPRING HARBOR HOSPITAL,123 ANDOVER ROAD,WESTBROOK,ME,04092,CUMBERLAND,(207) 761-2200,Psychiatric,Government - Federal,true,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19
https://data.medicare.gov/resource/xubh-q36u/row-8u5v~x55s.8pwm,214002,1,ROOFTOP,,38.5720366,-76.07688499999999,EASTERN SHORE HOSPITAL CENTER,POST OFFICE BOX 800,CAMBRIDGE,MD,21613,DORCHESTER,(410) 221-2525,Psychiatric,Government - State,false,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19
