Column Name,Description,Type,,,,
Facility ID,,Plain Text,,,,
Facility Name,,Plain Text,,,,
Address,,Plain Text,,,,
City,,Plain Text,,,,
State,,Plain Text,,,,
ZIP Code,,Plain Text,,,,
County Name,,Plain Text,,,,
Phone Number,,Plain Text,,,,
Hospital Type,,Plain Text,,,,
Hospital Ownership,,Plain Text,,,,
Emergency Services,,Checkbox,,,,
Meets criteria for meaningful use of EHRs,,Checkbox,,,,
Hospital overall rating,,Plain Text,,,,
Hospital overall rating footnote,,Plain Text,,,,
Mortality national comparison,,Plain Text,,,,
Mortality national comparison footnote,,Plain Text,,,,
Safety of care national comparison,,Plain Text,,,,
Safety of care national comparison footnote,,Plain Text,,,,
Readmission national comparison,,Plain Text,,,,
Readmission national comparison footnote,,Plain Text,,,,
Patient experience national comparison,,Plain Text,,,,
Patient experience national comparison footnote,,Plain Text,,,,
Effectiveness of care national comparison,,Plain Text,,,,
Effectiveness of care national comparison footnote,,Plain Text,,,,
Timeliness of care national comparison,,Plain Text,,,,
Timeliness of care national comparison footnote,,Plain Text,,,,
Efficient use of medical imaging national comparison,,Plain Text,,,,
Efficient use of medical imaging national comparison footnote,,Plain Text,,,,
Location,,,,,,
