zipcode,name,rg_name,rg_abbrev,area,totpop_cy,tothh_cy,medhinc_cy,avghinc_cy,pci_cy,meddi_cy,avgdi_cy,white_cy,black_cy,amerind_cy,asian_cy,pacific_cy,othrace_cy,race2up_cy,hispwht_cy,hispblk_cy,hispai_cy,hispasn_cy,hisppi_cy,hispoth_cy,hispmlt_cy,nhspwht_cy,nhspblk_cy,nhspai_cy,nhspasn_cy,nhsppi_cy,nhspoth_cy,nhspmlt_cy,oha_count,oha_count_lw,new_min,new_max,or_rate,date,jf_rate_tot,jf_rate_new_min,jf_rate_new_max
97002,Aurora,Oregon,OR,40.026621779529528,6070,2298,73623,97072,36762,56332,70746,5052,31,82,49,3,684,169,383,3,37,1,0,677,51,4669,28,45,48,3,7,118,22,19,3,3,39.1,2020-07-22,36.2438220757825,4.94233937397035,4.94233937397035
97004,Beavercreek,Oregon,OR,39.119604431658210,4689,1728,94200,115351,42512,69477,83160,4354,28,38,51,4,47,167,115,1,1,2,0,40,25,4239,27,37,49,4,7,142,11,10,1,1,25.1,2020-07-22,23.4591597355513,2.13265088505012,2.13265088505012
89421,Mc Dermitt,Oregon,OR,171.258383213357604,221,105,38847,54878,26073,34604,44677,140,1,55,1,1,14,9,16,0,3,0,0,14,3,124,1,52,1,1,0,6,,,,,,,-2,-2,-2
97001,Antelope,Oregon,OR,192.933757309417587,239,53,50469,62304,13990,41060,48713,220,1,4,2,0,1,11,4,1,0,0,0,1,2,216,0,4,2,0,0,9,,,,,,,-2,-2,-2
97009,Boring,Oregon,OR,29.869339806856598,8151,3007,85309,110061,40604,63195,78755,7197,33,79,218,6,372,246,273,6,18,0,0,359,46,6924,27,61,218,6,13,200,19,16,3,3,24.5,2020-07-22,23.3100233100233,3.68052999631947,3.68052999631947
97013,Canby,Oregon,OR,60.312639046204922,25353,9071,76479,95407,34144,57116,70133,20908,151,293,346,39,2801,815,1539,68,82,1,10,2782,244,19369,83,211,345,29,19,571,159,142,17,17,70.1,2020-07-22,62.7144716601586,6.70532086932513,6.70532086932513
97014,Cascade Locks,Oregon,OR,82.715591748935921,1327,516,42854,56308,21895,35202,43663,1144,11,27,16,10,41,78,75,1,4,0,0,40,12,1069,10,23,16,10,1,66,-1,-1,0,8,-1,2020-07-22,-1,0,60.2863602110023
97010,Bridal Veil,Oregon,OR,109.351254079881159,49,19,82335,107726,41771,59606,78254,45,0,0,1,0,1,2,1,0,0,0,0,1,0,44,0,0,1,0,0,2,,,,,,,-2,-2,-2
97011,Brightwood,Oregon,OR,33.339663216642968,719,323,72149,81526,36626,53221,61103,663,2,10,5,0,14,25,25,0,1,0,0,14,2,638,2,9,5,0,0,23,,,,,,,-2,-2,-2
97016,Clatskanie,Oregon,OR,276.987220381070983,6258,2514,57303,71212,28613,45825,54616,5700,45,92,50,15,97,259,172,3,6,1,0,90,35,5528,42,86,49,15,7,224,-1,-1,0,8,-1,2020-07-22,-1,0,12.7836369447108
