zip,count,rate_10k,date
97002,-1,-1,2020-05-05
97003,24,9.27,2020-05-05
97004,-1,-1,2020-05-05
97005,21,8.43,2020-05-05
97006,44,6.98,2020-05-05
97007,32,4.78,2020-05-05
97008,15,5.18,2020-05-05
97009,-1,-1,2020-05-05
97013,24,10.58,2020-05-05
97014,-1,-1,2020-05-05
97015,16,8.20,2020-05-05
97016,0,0.00,2020-05-05
97017,0,0.00,2020-05-05
97018,0,0.00,2020-05-05
97019,0,0.00,2020-05-05
97021,0,0.00,2020-05-05
97022,0,0.00,2020-05-05
97023,-1,-1,2020-05-05
97024,21,20.50,2020-05-05
97026,26,68.15,2020-05-05
97027,-1,-1,2020-05-05
97030,71,19.35,2020-05-05
97031,-1,-1,2020-05-05
97032,15,29.74,2020-05-05
97034,-1,-1,2020-05-05
97035,-1,-1,2020-05-05
97038,27,17.87,2020-05-05
97040,0,0.00,2020-05-05
97041,-1,-1,2020-05-05
97042,-1,-1,2020-05-05
97045,22,4.28,2020-05-05
97048,-1,-1,2020-05-05
97049,0,0.00,2020-05-05
97051,-1,-1,2020-05-05
97053,-1,-1,2020-05-05
97054,0,0.00,2020-05-05
97055,13,7.49,2020-05-05
97056,-1,-1,2020-05-05
97058,12,6.05,2020-05-05
97060,23,10.84,2020-05-05
97062,17,6.20,2020-05-05
97063,0,0.00,2020-05-05
97064,0,0.00,2020-05-05
97067,0,0.00,2020-05-05
97068,-1,-1,2020-05-05
97070,12,5.73,2020-05-05
97071,155,53.81,2020-05-05
97078,32,14.32,2020-05-05
97080,48,11.74,2020-05-05
97086,26,10.00,2020-05-05
97089,-1,-1,2020-05-05
97101,-1,-1,2020-05-05
97103,-1,-1,2020-05-05
97106,-1,-1,2020-05-05
97107,0,0.00,2020-05-05
97110,0,0.00,2020-05-05
97111,0,0.00,2020-05-05
97112,0,0.00,2020-05-05
97113,36,25.43,2020-05-05
97114,-1,-1,2020-05-05
97115,-1,-1,2020-05-05
97116,55,22.82,2020-05-05
97119,-1,-1,2020-05-05
97121,0,0.00,2020-05-05
97123,81,18.19,2020-05-05
97124,42,8.69,2020-05-05
97127,0,0.00,2020-05-05
97128,11,3.04,2020-05-05
97131,-1,-1,2020-05-05
97132,21,7.43,2020-05-05
97133,-1,-1,2020-05-05
97136,0,0.00,2020-05-05
97137,0,0.00,2020-05-05
97138,-1,-1,2020-05-05
97140,13,5.54,2020-05-05
97141,-1,-1,2020-05-05
97146,0,0.00,2020-05-05
97148,0,0.00,2020-05-05
97201,-1,-1,2020-05-05
97202,11,2.84,2020-05-05
97203,25,8.05,2020-05-05
97204,-1,-1,2020-05-05
97205,-1,-1,2020-05-05
97206,27,5.67,2020-05-05
97209,-1,-1,2020-05-05
97210,-1,-1,2020-05-05
97211,14,4.48,2020-05-05
97212,-1,-1,2020-05-05
97213,32,10.95,2020-05-05
97214,40,16.80,2020-05-05
97215,-1,-1,2020-05-05
97216,10,6.41,2020-05-05
97217,20,6.36,2020-05-05
97218,-1,-1,2020-05-05
97219,21,5.43,2020-05-05
97220,34,11.93,2020-05-05
97221,-1,-1,2020-05-05
97222,19,5.43,2020-05-05
97223,35,7.49,2020-05-05
97224,21,6.75,2020-05-05
97225,21,8.69,2020-05-05
97227,-1,-1,2020-05-05
97229,27,4.64,2020-05-05
97230,42,10.57,2020-05-05
97231,-1,-1,2020-05-05
97232,-1,-1,2020-05-05
97233,49,12.45,2020-05-05
97236,159,43.15,2020-05-05
97239,-1,-1,2020-05-05
97266,28,8.41,2020-05-05
97267,22,7.13,2020-05-05
97301,60,11.21,2020-05-05
97302,33,8.89,2020-05-05
97303,66,17.07,2020-05-05
97304,30,10.54,2020-05-05
97305,56,13.94,2020-05-05
97306,18,6.58,2020-05-05
97317,41,16.83,2020-05-05
97321,20,8.02,2020-05-05
97322,34,9.99,2020-05-05
97324,0,0.00,2020-05-05
97325,-1,-1,2020-05-05
97327,-1,-1,2020-05-05
97330,24,5.79,2020-05-05
97331,-1,-1,2020-05-05
97333,-1,-1,2020-05-05
97338,-1,-1,2020-05-05
97341,-1,-1,2020-05-05
97344,0,0.00,2020-05-05
97347,0,0.00,2020-05-05
97348,-1,-1,2020-05-05
97351,-1,-1,2020-05-05
97352,-1,-1,2020-05-05
97355,35,12.23,2020-05-05
97358,0,0.00,2020-05-05
97360,0,0.00,2020-05-05
97361,-1,-1,2020-05-05
97362,-1,-1,2020-05-05
97365,-1,-1,2020-05-05
97366,0,0.00,2020-05-05
97367,-1,-1,2020-05-05
97368,0,0.00,2020-05-05
97370,-1,-1,2020-05-05
97374,-1,-1,2020-05-05
97375,-1,-1,2020-05-05
97376,0,0.00,2020-05-05
97378,0,0.00,2020-05-05
