zip,count,rate_10k,date
97002,19,33.8,2020-07-15
97003,88,34,2020-07-15
97004,10,22.8,2020-07-15
97005,84,33.7,2020-07-15
97006,144,22.8,2020-07-15
97007,116,17.3,2020-07-15
97008,59,20.4,2020-07-15
97009,16,20.6,2020-07-15
97013,142,62.6,2020-07-15
97014,-1,-1,2020-07-15
97015,48,24.6,2020-07-15
97016,-1,-1,2020-07-15
97017,-1,-1,2020-07-15
97018,-1,-1,2020-07-15
97019,15,47.5,2020-07-15
97021,0,-1,2020-07-15
97022,-1,-1,2020-07-15
97023,15,15.3,2020-07-15
97024,124,121.1,2020-07-15
97026,59,154.7,2020-07-15
97027,33,27.2,2020-07-15
97030,177,48.2,2020-07-15
97031,90,49,2020-07-15
97032,60,119,2020-07-15
97034,33,17.5,2020-07-15
97035,52,21.7,2020-07-15
97038,55,36.4,2020-07-15
97040,-1,-1,2020-07-15
97041,10,35.5,2020-07-15
97042,12,41.1,2020-07-15
97045,158,30.8,2020-07-15
97048,10,14.9,2020-07-15
97049,-1,-1,2020-07-15
97051,11,6.9,2020-07-15
97053,-1,-1,2020-07-15
97054,-1,-1,2020-07-15
97055,24,13.8,2020-07-15
97056,16,13.9,2020-07-15
97058,103,51.9,2020-07-15
97060,97,45.7,2020-07-15
97062,130,47.4,2020-07-15
97063,-1,-1,2020-07-15
97064,-1,-1,2020-07-15
97067,-1,-1,2020-07-15
97068,42,14.8,2020-07-15
97070,47,22.4,2020-07-15
97071,366,127.1,2020-07-15
97078,113,52.7,2020-07-15
97080,180,44,2020-07-15
97086,70,26.9,2020-07-15
97089,23,19.2,2020-07-15
97101,-1,-1,2020-07-15
97103,28,16.6,2020-07-15
97106,-1,-1,2020-07-15
97107,-1,-1,2020-07-15
97110,-1,-1,2020-07-15
97111,-1,-1,2020-07-15
97112,-1,-1,2020-07-15
97113,156,110.2,2020-07-15
97114,16,33.6,2020-07-15
97115,11,26.6,2020-07-15
97116,148,61.4,2020-07-15
97119,-1,-1,2020-07-15
97121,-1,-1,2020-07-15
97123,295,66.2,2020-07-15
97124,152,31.4,2020-07-15
97127,-1,-1,2020-07-15
97128,73,20.2,2020-07-15
97131,-1,-1,2020-07-15
97132,78,27.6,2020-07-15
97133,-1,-1,2020-07-15
97136,-1,-1,2020-07-15
97137,-1,-1,2020-07-15
97138,-1,-1,2020-07-15
97140,45,19.2,2020-07-15
97141,-1,-1,2020-07-15
97146,16,27.1,2020-07-15
97148,-1,-1,2020-07-15
97201,33,21.3,2020-07-15
97202,58,15,2020-07-15
97203,151,48.6,2020-07-15
97204,-1,-1,2020-07-15
97205,-1,-1,2020-07-15
97206,137,28.8,2020-07-15
97209,58,38.8,2020-07-15
97210,18,16.5,2020-07-15
97211,82,26.2,2020-07-15
97212,40,16.6,2020-07-15
97213,66,22.6,2020-07-15
97214,74,31.1,2020-07-15
97215,23,14,2020-07-15
97216,55,35.3,2020-07-15
97217,84,26.7,2020-07-15
97218,53,36.4,2020-07-15
97219,94,24.3,2020-07-15
97220,122,42.8,2020-07-15
97221,16,13.8,2020-07-15
97222,106,30.3,2020-07-15
97223,128,27.4,2020-07-15
97224,71,22.8,2020-07-15
97225,56,23.2,2020-07-15
97227,12,31.2,2020-07-15
97229,94,16.1,2020-07-15
97230,213,53.6,2020-07-15
97231,12,28,2020-07-15
97232,16,13.9,2020-07-15
97233,358,90.9,2020-07-15
97236,389,105.6,2020-07-15
97239,12,8.5,2020-07-15
97266,156,46.8,2020-07-15
97267,85,27.6,2020-07-15
97301,261,48.8,2020-07-15
97302,115,31,2020-07-15
