facility,county,first_reported,start_date,cases,deaths,report_date
Oregon Veterans' Home Lebanon,Linn,3/11/2020,36,6,2020-04-21
The Oaks at Sherwood Park,Marion,3/20/2020,14,1,2020-04-21
Regency Park,Washington,3/21/2020,16,1,2020-04-21
Astor House Senior Living,Yamhill,3/22/2020,13,6,2020-04-21
Healthcare at Foster Creek,Multnomah,3/24/2020,71,14,2020-04-21
Oregon Veterans' Home The Dalles,Wasco,3/26/2020,3,0,2020-04-21
Raleigh Hills Senior Care,Washington,3/27/2020,1,1,2020-04-21
Corvallis Manor,Benton,3/27/2020,12,3,2020-04-21
Salem Transitional Care,Marion,3/27/2020,5,1,2020-04-21
Shelter at Orenco Station,Washington,3/30/2020,4,0,2020-04-21
Laurelhurst Village,Multnomah,3/30/2020,48,4,2020-04-21
Marquis Marian Estates,Marion,3/30/2020,16,1,2020-04-21
Avamere at Bethany,Washington,4/1/2020,9,0,2020-04-21
Village Health Care,Multnomah,4/1/2020,23,1,2020-04-21
Bonaventure,Washington,4/1/2020,1,1,2020-04-21
Four Seasons Memory Care,Marion,4/2/2020,4,1,2020-04-21
Jason Lee Manor Apartments,Marion,4/10/2020,2,1,2020-04-21
Powell Valley Memory Care,Multnomah,4/13/2020,4,0,2020-04-21
Country Meadows Village,Marion,4/13/2020,5,1,2020-04-21
Cornerstone Care Options,Multnomah,4/16/2020,6,0,2020-04-21
