facility,county,first_reported,cases,deaths,report_date
Avamere at Bethany,Washington,4/1/2020,12,1,2020-06-10
Prestige Senior Living Orchard Heights,Polk,4/30/2020,56,10,2020-06-10
Prestige Senior Living Riverwood,Washington,5/2/2020,11,1,2020-06-10
Jennings - McCall Center,Washington,5/4/2020,7,1,2020-06-10
Parkview Christian Assisted Living,Multnomah,5/4/2020,9,0,2020-06-10
Odd Fellows Home,Multnomah,5/4/20202,9,1,2020-06-10
"Prestige Post Acute Care and 
Rehabilitation-Milwaukie",Clackamas,5/9/2020,11,1,2020-06-10
Avamere Park Place,Washington,05/26/2020,6,0,2020-06-10
High Lookee Lodge,Jefferson,05/26/2020,15,0,2020-06-10
Bethesda Lutheran Communities,Washington,05/28/2020,3,0,2020-06-10
Boone Ridge Senior Living,Marion,05/31/2020,3,0,2020-06-10
The Springs at Willow Creek,Marion,06/02/2020,15,1,2020-06-10
Regent Court Memory Care,Benton,06/02/2020,5,0,2020-06-10
Marquis Hope Village,Clackamas,06/04/2020,39,1,2020-06-10
