hospital,count_total,count_confirmed,date
Salem Health Hospital,23,14,2020-06-10
OHSU Hospital,17,<10,2020-06-10
Providence Portland Medical Center,15,<10,2020-06-10
Providence St. Vincent Medical Center,11,<10,2020-06-10
Adventist Health Portland,<10,<10,2020-06-10
Asante Rogue Regional Medical Center,<10,<10,2020-06-10
Bay Area Hospital,<10,<10,2020-06-10
Good Samaritan Regional Medical Center,<10,<10,2020-06-10
Good Shepherd Health Care System,<10,<10,2020-06-10
Hillsboro Medical Center,<10,<10,2020-06-10
Kaiser Permanente Sunnyside Medical Center,<10,<10,2020-06-10
Kaiser Permanente Westside Medical Center,<10,<10,2020-06-10
Legacy Emanuel Medical Center,<10,<10,2020-06-10
Legacy Good Samaritan Medical Center,<10,<10,2020-06-10
Legacy Meridian Park Hospital,<10,<10,2020-06-10
Legacy Mount Hood Medical Center,<10,<10,2020-06-10
Legacy Silverton Medical Center,<10,<10,2020-06-10
McKenzie-Willamette Medical Center,<10,<10,2020-06-10
Mercy Medical Center,<10,<10,2020-06-10
Mid-Columbia Medical Center,<10,<10,2020-06-10
OHSU Doernbecher Children's Hospital,<10,<10,2020-06-10
PeaceHealth Sacred Heart Medical Center at Riverbend,<10,<10,2020-06-10
Providence Hood River Memorial Hospital,<10,<10,2020-06-10
Providence Medford Medical Center,<10,<10,2020-06-10
Providence Milwaukie Hospital,<10,<10,2020-06-10
Providence Newberg Medical Center,<10,<10,2020-06-10
Providence Seaside Hospital,<10,<10,2020-06-10
Providence Willamette Falls Medical Center,<10,<10,2020-06-10
Randall Children's Hospital at Legacy Emanuel,<10,<10,2020-06-10
Samaritan Albany General Hospital,<10,<10,2020-06-10
Samaritan Lebanon Community Hospital,<10,<10,2020-06-10
Samaritan North Lincoln Hospital,<10,<10,2020-06-10
Samaritan Pacific Communities Hospital,<10,<10,2020-06-10
Sky Lakes Medical Center,<10,<10,2020-06-10
Southern Coos Hospital and Health Center,<10,<10,2020-06-10
St. Anthony Hospital,<10,<10,2020-06-10
St. Charles Bend,<10,<10,2020-06-10
VA Portland Health Care System,<10,<10,2020-06-10
Willamette Valley Medical Center,<10,<10,2020-06-10
