County,Number of cases,Deaths,Negative test results
Baker,0,0,1
Benton,4,0,73
Clackamas,12,0,266
Clatsop,0,0,32
Columbia,0,0,35
Coos,0,0,35
Crook,0,0,5
Curry,0,0,12
Deschutes,10,0,75
Douglas,1,0,40
Gilliam,0,0,1
Grant,1,0,0
Harney,0,0,1
Hood River,0,0,17
Jackson,2,0,176
Jefferson,0,0,5
Josephine,1,0,21
Klamath,1,0,37
Lake,0,0,0
Lane,4,1,152
Lincoln,0,0,19
Linn,19,0,286
Malheur,0,0,13
Marion,22,1,197
Morrow,0,0,4
Multnomah,19,1,702
Polk,1,0,44
Sherman,0,0,0
Tillamook,0,0,9
Umatilla,2,0,30
Union,1,0,11
Wallowa,0,0,3
Wasco,0,0,10
Washington,55,1,456
Wheeler,0,0,1
Yamhill,6,0,95
Total,161,4,"2,864"
