County,Positive,Deaths*,Negative
Baker,0,0,6
Benton,6,0,216
Clackamas,21,2,669
Clatsop,2,0,59
Columbia,0,0,73
Coos,0,0,96
Crook,0,0,6
Curry,0,0,17
Deschutes,15,0,130
Douglas,3,0,121
Gilliam,0,0,3
Grant,1,0,1
Harney,0,0,19
Hood River,1,0,69
Jackson,4,0,681
Jefferson,0,0,9
Josephine,4,0,74
Klamath,1,0,68
Lake,0,0,3
Lane,7,1,354
Lincoln,1,0,48
Linn,26,1,456
Malheur,0,0,19
Marion,57,2,559
Morrow,0,0,15
Multnomah,45,2,1684
Polk,6,0,133
Sherman,0,0,2
Tillamook,1,0,29
Umatilla,2,0,71
Union,1,0,15
Wallowa,0,0,3
Wasco,1,0,34
Washington,104,3,979
Wheeler,0,0,1
Yamhill,7,0,231
Total,316,11,6953
