County,Positive,Deaths,Negative
Baker,0,0,11
Benton,12,1,341
Clackamas,50,3,1128
Clatsop,3,0,106
Columbia,1,0,117
Coos,0,0,165
Crook,0,0,12
Curry,0,0,43
Deschutes,24,0,247
Douglas,9,0,243
Gilliam,0,0,4
Grant,1,0,4
Harney,0,0,26
Hood River,3,0,133
Jackson,21,0,1637
Jefferson,0,0,12
Josephine,10,0,220
Klamath,5,0,107
Lake,0,0,21
Lane,16,1,557
Lincoln,2,0,88
Linn,37,2,710
Malheur,1,0,47
Marion,141,3,1268
Morrow,1,0,24
Multnomah,116,2,3146
Polk,18,0,276
Sherman,0,0,3
Tillamook,3,0,71
Umatilla,5,0,138
Union,1,0,25
Wallowa,1,0,3
Wasco,7,0,107
Washington,186,3,1673
Wheeler,0,0,1
Yamhill,16,3,422
Total,690,18,13136
