County,Positive1,Deaths2,Negative3
Baker,1,0,101
Benton,49,5,2361
Clackamas,268,9,7178
Clatsop,33,0,829
Columbia,15,0,942
Coos,30,0,780
Crook,1,0,286
Curry,4,0,211
Deschutes,86,0,2731
Douglas,24,0,1443
Gilliam,0,0,32
Grant,1,0,79
Harney,1,0,94
Hood River,13,0,723
Jackson,49,0,4745
Jefferson,24,0,439
Josephine,24,1,1342
Klamath,40,0,2492
Lake,0,0,80
Lane,60,2,5736
Lincoln,6,0,772
Linn,103,8,2510
Malheur,14,0,343
Marion,694,23,5540
Morrow,12,0,114
Multnomah,899,53,16446
Polk,87,6,1125
Sherman,1,0,47
Tillamook,6,0,408
Umatilla,85,2,937
Union,4,0,160
Wallowa,1,0,48
Wasco,15,1,779
Washington,587,13,10583
Wheeler,0,0,20
Yamhill,49,7,1855
Total,3286,130,74311
