County,Cases1,Deaths2,Negatives3
Baker,1,0,230
Benton,55,5,3717
Clackamas,306,11,11534
Clatsop,45,0,1489
Columbia,16,0,1529
Coos,31,0,1481
Crook,6,0,560
Curry,7,0,347
Deschutes,124,0,5277
Douglas,27,0,2689
Gilliam,0,0,57
Grant,1,0,100
Harney,1,0,205
Hood River,16,0,1025
Jackson,65,0,6712
Jefferson,30,0,868
Josephine,23,1,2168
Klamath,44,0,3473
Lake,2,0,128
Lane,69,3,10712
Lincoln,12,0,1456
Linn,115,9,3981
Malheur,32,0,702
Marion,949,25,9516
Morrow,11,0,178
Multnomah,1142,59,26322
Polk,98,12,1838
Sherman,1,0,77
Tillamook,6,0,705
Umatilla,116,3,1640
Union,6,0,420
Wallowa,2,0,137
Wasco,23,1,1122
Washington,734,17,17259
Wheeler,0,0,98
Yamhill,69,7,2836
Total,4185,153,122588
