County,Cases1,Deaths2,Negatives3,,,
Baker,1,0,290,,,
Benton,62,5,4077,,,
Clackamas,364,12,13507,,,
Clatsop,45,0,1726,,,
Columbia,16,0,1737,,,
Coos,32,0,1710,,,
Crook,6,0,673,,,
Curry,7,0,408,,,
Deschutes,135,0,6420,,,
Douglas,29,0,3193,,,
Gilliam,0,0,68,,,
Grant,1,0,112,,,
Harney,1,0,252,,,
Hood River,56,0,1464,,,
Jackson,71,0,7807,,,
Jefferson,57,0,1142,,,
Josephine,23,1,2644,,,
Klamath,45,0,3786,,,
Lake,2,0,168,,,
Lane,80,3,13343,,,
Lincoln,94,0,1994,,,
Linn,125,9,4600,,,
Malheur,34,1,804,,,
Marion,1050,27,10983,,,
Morrow,13,0,211,,,
Multnomah,1286,65,30218,,,
Polk,103,12,2087,,,
Sherman,1,0,113,,,
Tillamook,6,0,816,,,
Umatilla,136,3,1926,,,
Union,6,0,515,,,
Wallowa,3,0,169,,,
Wasco,35,1,1551,,,
Washington,798,18,19614,,,
Wheeler,0,0,101,,,
Yamhill,85,7,3363,,,
Total,4808,164,143592,,,
