County,Cases1,Total deaths2,Negative tests3
Baker,112,2,2082
Benton,413,6,16643
Clackamas,2910,65,70580
Clatsop,235,0,6395
Columbia,243,1,8100
Coos,210,0,8176
Crook,81,1,2916
Curry,56,1,2169
Deschutes,1041,13,35646
Douglas,313,4,14519
Gilliam,11,0,341
Grant,10,0,995
Harney,13,0,905
Hood River,268,1,5617
Jackson,1471,6,38772
Jefferson,593,9,5357
Josephine,255,2,13605
Klamath,395,3,11319
Lake,35,0,1021
Lane,2058,22,74100
Lincoln,507,13,9491
Linn,734,14,19276
Malheur,1841,33,5960
Marion,5437,105,55673
Morrow,539,6,1966
Multnomah,8462,152,164602
Polk,626,15,10840
Sherman,18,0,376
Tillamook,69,0,3411
Umatilla,3255,43,14606
Union,456,2,4846
Wallowa,39,2,1121
Wasco,332,15,5643
Washington,5345,69,105296
Wheeler,1,0,177
Yamhill,932,15,19785
Total,39316,620,742327
" 
",,,
