County,Cases1,Total deaths2,Negative tests3,,,
Baker,215,3,2608,,,
Benton,601,7,20568,,,
Clackamas,4501,73,85433,,,
Clatsop,300,0,7616,,,
Columbia,346,2,9595,,,
Coos,334,1,10192,,,
Crook,167,5,3660,,,
Curry,81,2,2615,,,
Deschutes,1633,14,43821,,,
Douglas,603,10,17132,,,
Gilliam,18,0,404,,,
Grant,66,0,1220,,,
Harney,60,0,1099,,,
Hood River,314,1,6332,,,
Jackson,2805,10,46645,,,
Jefferson,685,11,6253,,,
Josephine,342,4,16463,,,
Klamath,523,3,12705,,,
Lake,60,0,1180,,,
Lane,3206,34,89609,,,
Lincoln,542,13,10852,,,
Linn,1088,17,23215,,,
Malheur,2165,38,6908,,,
Marion,7324,124,68594,,,
Morrow,594,7,2282,,,
Multnomah,12521,195,198592,,,
Polk,873,15,13828,,,
Sherman,23,0,428,,,
Tillamook,100,0,3978,,,
Umatilla,3827,45,16788,,,
Union,579,2,5740,,,
Wallowa,69,2,1377,,,
Wasco,410,17,6544,,,
Washington,7714,89,126833,,,
Wheeler,1,0,202,,,
Yamhill,1328,15,24236,,,
Total,56018,759,895547,,,
