County,Cases1,Total deaths2,Negatives3
Baker,326,4,0
Benton,900,7,0
Clackamas,7275,87,0
Clatsop,411,0,0
Columbia,590,6,0
Coos,515,4,0
Crook,288,6,0
Curry,163,2,0
Deschutes,2823,15,0
Douglas,1069,24,0
Gilliam,24,0,0
Grant,142,1,0
Harney,111,1,0
Hood River,490,3,0
Jackson,4388,41,0
Jefferson,942,11,0
Josephine,655,6,0
Klamath,1160,8,0
Lake,150,1,0
Lane,4921,52,0
Lincoln,692,16,0
Linn,1770,24,0
Malheur,2547,45,0
Marion,10332,163,0
Morrow,705,7,0
Multnomah,19396,270,0
Polk,1431,23,0
Sherman,24,0,0
Tillamook,159,0,0
Umatilla,4659,50,0
Union,847,8,0
Wallowa,72,3,0
Wasco,610,19,0
Washington,11982,108,0
Wheeler,7,0,0
Yamhill,1920,18,0
Total,84496,1033,0
