County,Case Count,Deaths,Negatives3
Baker,331,4,0
Benton,918,8,0
Clackamas,7409,87,0
Clatsop,410,0,0
Columbia,597,6,0
Coos,523,4,0
Crook,294,6,0
Curry,171,2,0
Deschutes,2886,15,0
Douglas,1080,24,0
Gilliam,24,1,0
Grant,143,1,0
Harney,114,1,0
Hood River,492,3,0
Jackson,4408,41,0
Jefferson,986,11,0
Josephine,676,6,0
Klamath,1160,8,0
Lake,150,1,0
Lane,4991,53,0
Lincoln,709,16,0
Linn,1812,26,0
Malheur,2554,45,0
Marion,10492,164,0
Morrow,705,7,0
Multnomah,19727,275,0
Polk,1454,23,0
Sherman,24,0,0
Tillamook,159,0,0
Umatilla,4674,50,0
Union,854,8,0
Unknown,0,0,0
Wallowa,72,3,0
Wasco,627,19,0
Washington,12200,109,0
Wheeler,7,0,0
Yamhill,1955,18,0
Total,85788,1045,0
