County,Case Count,Deaths,Negative
Baker,350,4,0
Benton,979,8,0
Clackamas,7748,94,0
Clatsop,441,1,0
Columbia,639,7,0
Coos,558,4,0
Crook,315,6,0
Curry,180,2,0
Deschutes,3015,16,0
Douglas,1152,27,0
Gilliam,25,1,0
Grant,155,1,0
Harney,117,1,0
Hood River,522,3,0
Jackson,4624,45,0
Jefferson,1086,11,0
Josephine,732,8,0
Klamath,1273,11,0
Lake,162,1,0
Lane,5295,65,0
Lincoln,741,16,0
Linn,1949,27,0
Malheur,2586,45,0
Marion,10938,174,0
Morrow,728,7,0
Multnomah,20575,298,0
Polk,1525,24,0
Sherman,25,0,0
Tillamook,179,0,0
Umatilla,4772,52,0
Union,872,9,0
Wallowa,73,3,0
Wasco,661,19,0
Washington,12767,114,0
Wheeler,10,0,0
Yamhill,2069,19,0
Total,89838,1123,0
