County,Cases1,Total deaths2,negatives,,,
Baker,358,4,0,,,
Benton,1046,8,0,,,
Clackamas,8031,95,0,,,
Clatsop,451,1,0,,,
Columbia,651,7,0,,,
Coos,572,4,0,,,
Crook,340,6,0,,,
Curry,192,2,0,,,
Deschutes,3181,17,0,,,
Douglas,1179,29,0,,,
Gilliam,25,1,0,,,
Grant,158,1,0,,,
Harney,117,1,0,,,
Hood River,562,4,0,,,
Jackson,4769,49,0,,,
Jefferson,1130,12,0,,,
Josephine,811,9,0,,,
Klamath,1360,11,0,,,
Lake,173,1,0,,,
Lane,5485,68,0,,,
Lincoln,758,16,0,,,
Linn,2050,27,0,,,
Malheur,2617,45,0,,,
Marion,11246,179,0,,,
Morrow,743,7,0,,,
Multnomah,21156,305,0,,,
Polk,1566,24,0,,,
Sherman,26,0,0,,,
Tillamook,190,0,0,,,
Umatilla,4845,52,0,,,
Union,901,10,0,,,
Wallowa,74,3,0,,,
Wasco,687,19,0,,,
Washington,13226,114,0,,,
Wheeler,11,0,0,,,
Yamhill,2152,19,0,,,
Total,92839,1150,0,,,
