County,Cases1,Total deaths2,negatives
Baker,362,4,0
Benton,1069,8,0
Clackamas,8147,95,0
Clatsop,454,1,0
Columbia,666,7,0
Coos,582,4,0
Crook,347,6,0
Curry,207,2,0
Deschutes,3220,17,0
Douglas,1199,29,0
Gilliam,25,1,0
Grant,158,1,0
Harney,117,1,0
Hood River,574,4,0
Jackson,4857,50,0
Jefferson,1147,12,0
Josephine,822,10,0
Klamath,1388,11,0
Lake,174,1,0
Lane,5565,68,0
Lincoln,770,16,0
Linn,2067,27,0
Malheur,2619,45,0
Marion,11389,180,0
Morrow,747,7,0
Multnomah,21323,305,0
Polk,1582,24,0
Sherman,26,0,0
Tillamook,191,0,0
Umatilla,4881,52,0
Union,903,10,0
Wallowa,74,3,0
Wasco,697,19,0
Washington,13324,116,0
Wheeler,11,0,0
Yamhill,2169,19,0
Total,93853,1155,0
