County,Case Count,Deaths,negatives
Baker,376,4,0
Benton,1127,9,0
Clackamas,8539,104,0
Clatsop,472,2,0
Columbia,695,8,0
Coos,609,4,0
Crook,364,6,0
Curry,224,2,0
Deschutes,3342,18,0
Douglas,1228,35,0
Gilliam,28,1,0
Grant,161,1,0
Harney,121,1,0
Hood River,621,8,0
Jackson,5039,53,0
Jefferson,1195,12,0
Josephine,883,12,0
Klamath,1457,12,0
Lake,179,2,0
Lane,5836,77,0
Lincoln,785,16,0
Linn,2180,31,0
Malheur,2658,47,0
Marion,11892,188,0
Morrow,755,7,0
Multnomah,22210,335,0
Polk,1657,24,0
Sherman,29,0,0
Tillamook,212,0,0
Umatilla,4981,53,0
Union,921,12,0
Wallowa,76,3,0
Wasco,710,19,0
Washington,13776,127,0
Wheeler,11,0,0
Yamhill,2273,29,0
Total,97622,1262,0
