County,Case Count,Deaths,Negatives
Baker,378,4,0
Benton,1152,9,0
Clackamas,8716,104,0
Clatsop,475,2,0
Columbia,713,8,0
Coos,614,4,0
Crook,368,6,0
Curry,225,2,0
Deschutes,3389,18,0
Douglas,1239,36,0
Gilliam,31,1,0
Grant,161,1,0
Harney,121,1,0
Hood River,643,8,0
Jackson,5117,54,0
Jefferson,1204,12,0
Josephine,907,13,0
Klamath,1476,13,0
Lake,179,2,0
Lane,5900,78,0
Lincoln,793,16,0
Linn,2237,31,0
Malheur,2670,48,0
Marion,12038,190,0
Morrow,760,7,0
Multnomah,22453,345,0
Polk,1677,24,0
Sherman,29,0,0
Tillamook,224,0,0
Umatilla,5014,53,0
Union,934,12,0
Wallowa,76,3,0
Wasco,720,19,0
Washington,13991,129,0
Wheeler,12,0,0
Yamhill,2300,30,0
Total,98936,1283,0
