County,Cases1,Total deaths2,Negativees
Baker,430,5,0
Benton,1296,11,0
Clackamas,9609,111,0
Clatsop,524,3,0
Columbia,808,13,0
Coos,707,6,0
Crook,428,7,0
Curry,272,3,0
Deschutes,3835,22,0
Douglas,1358,37,0
Gilliam,34,1,0
Grant,168,1,0
Harney,130,1,0
Hood River,772,11,0
Jackson,5616,66,0
Jefferson,1380,16,0
Josephine,1120,20,0
Klamath,1832,16,0
Lake,189,4,0
Lane,6640,85,0
Lincoln,855,17,0
Linn,2542,32,0
Malheur,2815,50,0
Marion,13462,207,0
Morrow,794,8,0
Multnomah,24581,383,0
Polk,1875,25,0
Sherman,31,0,0
Tillamook,291,0,0
Umatilla,5407,56,0
Union,970,13,0
Wallowa,76,3,0
Wasco,863,22,0
Washington,15433,138,0
Wheeler,16,0,0
Yamhill,2566,34,0
Total,109725,1427,0
