County,Cases1,Total deaths2,Negatives
Baker,483,5,0
Benton,1369,11,0
Clackamas,10143,112,0
Clatsop,580,3,0
Columbia,843,15,0
Coos,769,10,0
Crook,457,7,0
Curry,286,3,0
Deschutes,4082,22,0
Douglas,1426,39,0
Gilliam,37,1,0
Grant,170,1,0
Harney,137,2,0
Hood River,827,16,0
Jackson,5933,72,0
Jefferson,1439,18,0
Josephine,1233,22,0
Klamath,1911,18,0
Lake,200,4,0
Lane,7015,93,0
Lincoln,891,17,0
Linn,2686,32,0
Malheur,2910,50,0
Marion,14128,213,0
Morrow,825,8,0
Multnomah,25556,393,0
Polk,1998,30,0
Sherman,31,0,0
Tillamook,313,0,0
Umatilla,5697,57,0
Union,982,14,0
Wallowa,77,3,0
Wasco,917,22,0
Washington,16290,142,0
Wheeler,17,1,0
Yamhill,2681,34,0
Total,115339,1490,0
