County,Cases1,Total deaths2,Negqtives
Baker,485,5,0
Benton,1387,11,0
Clackamas,10143,112,0
Clatsop,580,3,0
Columbia,868,15,0
Coos,769,10,0
Crook,467,7,0
Curry,287,3,0
Deschutes,4148,22,0
Douglas,1436,40,0
Gilliam,39,1,0
Grant,170,1,0
Harney,139,2,0
Hood River,838,17,0
Jackson,5955,72,0
Jefferson,1467,18,0
Josephine,1270,22,0
Klamath,1990,18,0
Lake,200,4,0
Lane,7114,93,0
Lincoln,907,17,0
Linn,2721,32,0
Malheur,2924,50,0
Marion,14261,213,0
Morrow,829,8,0
Multnomah,25754,393,0
Polk,2035,30,0
Sherman,31,0,0
Tillamook,318,0,0
Umatilla,5750,57,0
Union,982,14,0
Wallowa,78,3,0
Wasco,927,22,0
Washington,16381,142,0
Wheeler,17,1,0
Yamhill,2681,34,0
Total,116348,1492,0
