County,Cases1,Total deaths2,Negatives,,,
Baker,512,5,0,,,
Benton,1541,12,0,,,
Clackamas,10996,119,0,,,
Clatsop,620,3,0,,,
Columbia,943,16,0,,,
Coos,875,13,0,,,
Crook,530,8,0,,,
Curry,305,3,0,,,
Deschutes,4489,27,0,,,
Douglas,1542,42,0,,,
Gilliam,45,1,0,,,
Grant,174,1,0,,,
Harney,156,3,0,,,
Hood River,894,20,0,,,
Jackson,6486,80,0,,,
Jefferson,1592,20,0,,,
Josephine,1470,28,0,,,
Klamath,2218,26,0,,,
Lake,219,4,0,,,
Lane,7618,96,0,,,
Lincoln,947,17,0,,,
Linn,2921,36,0,,,
Malheur,3040,51,0,,,
Marion,15211,223,0,,,
Morrow,881,9,0,,,
Multnomah,26912,410,0,,,
Polk,2231,34,0,,,
Sherman,48,0,0,,,
Tillamook,354,2,0,,,
Umatilla,6270,60,0,,,
Union,1049,16,0,,,
Wallowa,88,3,0,,,
Wasco,987,22,0,,,
Washington,17326,155,0,,,
Wheeler,17,1,0,,,
Yamhill,2969,37,0,,,
Total,124476,1603,0,,,
