County,Cases1,Total deaths2
Baker,603,7
Benton,2042,14
Clackamas,12819,154
Clatsop,756,5
Columbia,1142,20
Coos,1189,17
Crook,720,16
Curry,354,6
Deschutes,5568,47
Douglas,1974,49
Gilliam,53,1
Grant,217,1
Harney,217,6
Hood River,1029,26
Jackson,7734,105
Jefferson,1830,25
Josephine,2103,40
Klamath,2680,52
Lake,309,6
Lane,9546,115
Lincoln,1105,18
Linn,3419,51
Malheur,3298,56
Marion,17722,268
Morrow,997,13
Multnomah,30688,485
Polk,2820,42
Sherman,52,0
Tillamook,383,2
Umatilla,7350,76
Union,1221,18
Wallowa,117,4
Wasco,1193,24
Washington,20301,194
Wheeler,22,1
Yamhill,3549,59
Total,147122,2023
