County,Total Cases1,Total deaths2,,,,
Baker,656,7,,,,
Benton,2335,16,,,,
Clackamas,13357,175,,,,
Clatsop,775,6,,,,
Columbia,1261,21,,,,
Coos,1482,19,,,,
Crook,775,18,,,,
Curry,426,6,,,,
Deschutes,5946,59,,,,
Douglas,2463,54,,,,
Gilliam,53,1,,,,
Grant,222,1,,,,
Harney,273,6,,,,
Hood River,1068,29,,,,
Jackson,8377,112,,,,
Jefferson,1955,28,,,,
Josephine,2337,50,,,,
Klamath,2789,55,,,,
Lake,375,6,,,,
Lane,10224,126,,,,
Lincoln,1131,20,,,,
Linn,3586,56,,,,
Malheur,3350,58,,,,
Marion,18416,285,,,,
Morrow,1047,14,,,,
Multnomah,31853,528,,,,
Polk,3053,42,,,,
Sherman,53,0,,,,
Tillamook,414,2,,,,
Umatilla,7651,82,,,,
Union,1284,19,,,,
Wallowa,142,4,,,,
Wasco,1221,26,,,,
Washington,21170,212,,,,
Wheeler,22,1,,,,
Yamhill,3773,64,,,,
Total,155315,2208,,,,
