County,Case Count,Deaths
Baker,676,9
Benton,2384,18
Clackamas,13507,191
Clatsop,779,6
Columbia,1280,21
Coos,1599,21
Crook,781,18
Curry,447,7
Deschutes,6042,65
Douglas,2626,56
Gilliam,54,1
Grant,230,1
Harney,278,6
Hood River,1073,29
Jackson,8604,118
Jefferson,1979,30
Josephine,2410,56
Klamath,2819,55
Lake,386,6
Lane,10404,132
Lincoln,1141,20
Linn,3626,57
Malheur,3365,58
Marion,18662,287
Morrow,1051,14
Multnomah,32050,550
Polk,3099,45
Sherman,53,0
Tillamook,434,2
Umatilla,7709,82
Union,1305,19
Wallowa,144,5
Wasco,1222,26
Washington,21456,217
Wheeler,22,1
Yamhill,3818,69
Total,157515,2298
