County,Cases1,Deaths2
Baker,680,10
Benton,2404,18
Clackamas,13566,191
Clatsop,782,6
Columbia,1289,21
Coos,1644,21
Crook,784,18
Curry,459,7
Deschutes,6071,65
Douglas,2652,56
Gilliam,54,1
Grant,235,1
Harney,278,6
Hood River,1073,29
Jackson,8672,120
Jefferson,1986,30
Josephine,2454,56
Klamath,2836,55
Lake,388,6
Lane,10435,132
Lincoln,1146,20
Linn,3643,57
Malheur,3369,58
Marion,18753,289
Morrow,1053,14
Multnomah,32170,551
Polk,3107,45
Sherman,53,0
Tillamook,442,2
Umatilla,7732,82
Union,1314,19
Wallowa,144,5
Wasco,1224,26
Washington,21542,218
Wheeler,22,1
Yamhill,3835,69
Total,158291,2305
