County,TotalCases1,Totaldeaths2
Baker,698,12
Benton,2491,18
Clackamas,13867,196
Clatsop,807,7
Columbia,1302,24
Coos,1790,24
Crook,796,18
Curry,514,8
Deschutes,6163,70
Douglas,2773,58
Gilliam,54,1
Grant,259,1
Harney,283,6
HoodRiver,1075,29
Jackson,8944,120
Jefferson,2001,31
Josephine,2636,59
Klamath,2907,56
Lake,393,6
Lane,10556,139
Lincoln,1178,20
Linn,3722,59
Malheur,3384,58
Marion,19037,295
Morrow,1055,14
Multnomah,32643,557
Polk,3152,48
Sherman,53,0
Tillamook,465,2
Umatilla,7816,82
Union,1346,20
Wallowa,145,5
Wasco,1236,27
Washington,21884,221
Wheeler,25,1
Yamhill,3870,70
Total,161320,2362
