Name,cases,Deaths
Baker,728,12
Benton,2543,18
Clackamas,14144,196
Clatsop,832,7
Columbia,1346,24
Coos,1855,28
Crook,803,18
Curry,536,8
Deschutes,6293,70
Douglas,2837,59
Gilliam,54,1
Grant,271,4
Harney,285,6
Hood River,1084,29
Jackson,9131,120
Jefferson,2008,31
Josephine,2748,59
Klamath,2964,56
Lake,399,6
Lane,10680,141
Lincoln,1197,20
Linn,3782,60
Malheur,3391,58
Marion,19263,296
Morrow,1062,14
Multnomah,33005,558
Polk,3194,48
Sherman,53,0
Tillamook,495,2
Umatilla,7859,82
Union,1360,20
Wallowa,147,5
Wasco,1242,27
Washington,22179,221
Wheeler,25,1
Yamhill,3907,70
Total,163702,2375
