County,Total Cases1,Total deaths2,,,,
Baker,970,15,,,,
Benton,3192,22,,,,
Clackamas,18281,223,,,,
Clatsop,1010,8,,,,
Columbia,1827,29,,,,
Coos,2144,36,,,,
Crook,1201,22,,,,
Curry,666,10,,,,
Deschutes,9634,79,,,,
Douglas,3538,75,,,,
Gilliam,64,1,,,,
Grant,529,6,,,,
Harney,382,8,,,,
Hood River,1204,32,,,,
Jackson,11227,143,,,,
Jefferson,2304,38,,,,
Josephine,3472,72,,,,
Klamath,4674,73,,,,
Lake,462,7,,,,
Lane,13483,152,,,,
Lincoln,1398,21,,,,
Linn,5330,76,,,,
Malheur,3562,63,,,,
Marion,22809,316,,,,
Morrow,1130,16,,,,
Multnomah,39479,606,,,,
Polk,3872,53,,,,
Sherman,62,1,,,,
Tillamook,662,4,,,,
Umatilla,8401,86,,,,
Union,1464,23,,,,
Wallowa,187,5,,,,
Wasco,1418,28,,,,
Washington,26293,238,,,,
Wheeler,34,1,,,,
Yamhill,4639,78,,,,
Total,201004,2666,,,,
