County,Total Cases1,Total Deaths2
Baker,971,15
Benton,3194,22
Clackamas,18345,223
Clatsop,1011,8
Columbia,1835,29
Coos,2147,36
Crook,1201,22
Curry,668,10
Deschutes,9666,79
Douglas,3565,76
Gilliam,64,1
Grant,529,6
Harney,383,8
Hood River,1204,32
Jackson,11251,144
Jefferson,2312,38
Josephine,3479,72
Klamath,4686,73
Lake,462,7
Lane,13515,152
Lincoln,1401,21
Linn,5355,77
Malheur,3562,63
Marion,22870,318
Morrow,1135,16
Multnomah,39579,606
Polk,3878,53
Sherman,63,1
Tillamook,664,4
Umatilla,8401,86
Union,1466,23
Wallowa,187,5
Wasco,1422,28
Washington,26320,238
Wheeler,34,1
Yamhill,4650,78
Total,201475,2671
