County,Total Cases1,Total deaths2
Baker,1035,15
Benton,3282,22
Clackamas,19025,235
Clatsop,1065,9
Columbia,1939,29
Coos,2186,37
Crook,1299,23
Curry,736,11
Deschutes,10075,82
Douglas,3937,83
Gilliam,81,1
Grant,552,7
Harney,435,10
Hood River,1222,33
Jackson,11609,147
Jefferson,2380,39
Josephine,3642,72
Klamath,4788,78
Lake,470,8
Lane,13972,166
Lincoln,1453,21
Linn,5696,81
Malheur,3624,63
Marion,23555,325
Morrow,1162,16
Multnomah,40502,614
Polk,4029,56
Sherman,70,1
Tillamook,665,4
Umatilla,8645,87
Union,1504,24
Wallowa,195,5
Wasco,1458,30
Washington,26876,249
Wheeler,35,1
Yamhill,4799,79
Total,207998,2763
