workplace,address1,address2,county,start,end,cases,report_date
Oregon State Penitentiary,"2605 State St, Salem, OR 
97310",,Marion,4/2/2020,5/27/2020,167,2020-06-03
Townsend Farms,"23303 NE Sandy, Fairview, 
OR 97024",,Multnomah,4/30/2020,5/12/2020,51,2020-06-03
National Frozen Foods,"745 30th Ave SW, Albany, 
OR  97322",,Linn,4/15/2020,5/10/2020,41,2020-06-03
Townsend Farms,"23303 NE Sandy, Fairview, 
OR 97024",,Multnomah,5/25/2020,5/24/2020,35,2020-06-03
VA Medical Center,"3710 SW US Veterans 
Hospital Rd, Portland, OR 
97239",,Multnomah,5/7/2020,5/13/2020,34,2020-06-03
Medelez Trucking,"30522 Old Field Street, 
Hermiston OR 97838",,Umatilla,4/29/2020,5/9/2020,22,2020-06-03
Old Trapper,"4071 24th Ave, Forest 
Grove, OR 97116",,Washington,4/13/2020,5/16/2020,15,2020-06-03
Pacific Seafood,"450 NE Skipanon Dr, 
Warrenton, OR 97146",,Clatsop,5/08/2020,5/14/2020,15,2020-06-03
"Santiam Correctional 
Institute","4005 Aumsville Hwy SE, 
Salem, OR 97317",,Marion,4/3/2020,5/15/2020,14,2020-06-03
Bob’s Red Mill,,"5000 SE International Way,",Clackamas,5/27/2020,6/1/2020,19,2020-06-03
Duckwall Fruit,"3430 Davis Dr. Hood River, 
OR 97031",,Hood River,5/28/2020,5/30/2020,15,2020-06-03
Reser's Food,"6999 NE Century Blvd, 
Hillsboro, OR 97124",,Washington,4/16/2020,5/30/2020,12,2020-06-03
Adventist Hospital,"10123 SE Market St, 
Portland, OR 97216",,Multnomah,5/7/2020,5/8/2020,9,2020-06-03
Townsend Farms,"33865 NW Vadis Rd, 
Cornelius OR 97113",,Washington,5/25/2020,5/27/2020,7,2020-06-03
Dave's Killer Bread,"5209 SE International Way, 
Milwaukie, OR 97222",,Clackamas,5/2/2020,5/7/2020,6,2020-06-03
Fresh Del Monte,"9243 N Rivergate Blvd, 
Portland, OR 97203",,Multnomah,5/22/2020,5/21/2020,6,2020-06-03
Meduri Farms,"12375 Smithfield Road, 
Dallas, OR 97338",,Polk,5/25/2020,5/19/2020,7,2020-06-03
"MacLaren Youth 
Correctional Facility","2630 N Pacific Hwy, 
Woodburn, OR 97071",,Marion,5/5/2020,5/11/2020,5,2020-06-03
Good Shepherd Hospital,"610 NW 11th St, Hermiston, 
OR 97838",,Umatilla,5/21/2020,5/20/2020,5,2020-06-03
