workplace,address1,county,start,end,cases,report_date
Oregon State Penitentiary,"2605 State St, Salem, OR 97310",Marion,4/2/2020,5/27/2020,167,2020-06-10
Pacific Seafood,"213 SW Bay Blvd, Newport, OR 97365",Lincoln,6/2/2020,6/4/2020,127,2020-06-10
Townsend Farms,"23303 NE Sandy, Fairview, OR 97024",Multnomah,5/25/2020,5/24/2020,56,2020-06-10
Duckwall Fruit,"3430 Davis Dr. Hood River, OR 97031",Hood River,5/28/2020,5/30/2020,45,2020-06-10
Bob’s Red Mill,"5000 SE International Way, Milwaukie, 
OR 97222",Clackamas,5/27/2020,6/1/2020,40,2020-06-10
VA Medical Center,"3710 SW US Veterans Hospital Rd, 
Portland, OR 97239",Multnomah,5/7/2020,5/13/2020,34,2020-06-10
Bornsteins Seafood,"9 Portway St, Astoria, OR 97103",Clatsop,5/2/2020,5/13/2020,33,2020-06-10
Medelez Trucking,"30522 Old Field Street, Hermiston OR 
97838",Umatilla,4/29/2020,5/30/2020,23,2020-06-10
Old Trapper,"4071 24th Ave, Forest Grove, OR 
97116",Washington,4/13/2020,5/16/2020,15,2020-06-10
Pacific Seafood,"450 NE Skipanon Dr, Warrenton, OR 
97146",Clatsop,5/8/2020,5/14/2020,15,2020-06-10
"Santiam Correctional 
Institute","4005 Aumsville Hwy SE, Salem, OR 
97317",Marion,4/3/2020,5/15/2020,14,2020-06-10
Townsend Farms,"33865 NW Vadis Rd, Cornelius OR 
97113",Washington,5/25/2020,6/2/2020,14,2020-06-10
Reser's Food,"6999 NE Century Blvd, Hillsboro, OR 
97124",Washington,4/16/2020,5/30/2020,12,2020-06-10
Norpac,"2498 Madrona Ave SE, Salem, OR 
97301",Marion,6/5/2020,5/29/2020,8,2020-06-10
Dave's Killer Bread,"5209 SE International Way, Milwaukie, 
OR 97222",Clackamas,5/2/2020,5/7/2020,7,2020-06-10
Meduri Farms,"12375 Smithfield Road, Dallas, OR 
97338",Polk,5/25/2020,5/19/2020,7,2020-06-10
Chaucer Foods,"2238 Yew St, Forest Grove, OR 97116",Washington,5/31/2020,6/1/2020,7,2020-06-10
Fred Meyer,"14700 SE McLoughlin Blvd, Milwaukie, 
OR 97267",Clackamas,6/3/2020,5/31/2020,6,2020-06-10
Fresh Del Monte,"9243 N Rivergate Blvd, Portland, OR 
97203",Multnomah,5/22/2020,5/21/2020,6,2020-06-10
Salem Hospital,"890 Oak Street SE, Salem, OR 97301",Marion,5/27/2020,5/23/2020,6,2020-06-10
Amazon Aumsville,"4775 Depot Ct SE, Salem, OR 97317",Marion,5/21/2020,5/22/2020,6,2020-06-10
Good Shepherd Hospital,"610 NW 11th St, Hermiston, OR 97838",Umatilla,5/21/2020,5/20/2020,5,2020-06-10
Electronic Assemblers,"616 Industrial St # 30, Hood River, OR 
97031",Hood River,6/1/2020,5/30/2020,5,2020-06-10
"Amazon Fulfilment 
Center","1250 NW Swigert Rd, Troutdale, OR 
97060",Multnomah,5/21/2020,6/3/2020,5,2020-06-10
