date,total,today
2020-12-16,0,0
2020-12-17,254,254
2020-12-18,688,434
2020-12-19,2507,1819
2020-12-20,3699,1192
2020-12-21,4867,1168
2020-12-22,8581,3714
2020-12-23,12480,3899
2020-12-24,16937,4457
2020-12-25,18400,1463
2020-12-26,18410,10
2020-12-27,19459,1049
2020-12-28,20299,840
2020-12-29,25972,5673
2020-12-30,31382,5410
2020-12-31,38698,7316
2021-01-01,44415,5717
2021-01-02,45297,882
2021-01-03,48723,3426
2021-01-04,51275,2552
2021-01-05,54922,3647
2021-01-06,61664,6742
2021-01-07,66923,5259
2021-01-08,74914,7991
2021-01-09,88362,13448
2021-01-10,97010,8648
2021-01-11,104595,7585
2021-01-12,115060,10465
2021-01-13,129782,14722
2021-01-14,146137,16355
2021-01-15,173073,26936
2021-01-16,189190,16117
2021-01-17,204974,15784
2021-01-18,216925,11951
2021-01-19,225066,8141
2021-01-20,238760,13694
2021-01-21,253711,14951
2021-01-22,270453,16763
2021-01-23,285914,15461
2021-01-24,300662,14755
2021-01-25,308050,7390
